"","date","Same","...1","Kigoma","Songea","Kumasi","Accra.KIA","Akuse","Ho","Takoradi","Bole","Asamankese","Musoma","Mtwara","Nsawam","Axim","Akim.Oda","Akatsi","Yendi","Wenchi","Koforidua","GilgilKwetu","Tema","Dodoma","Mbeya","Pokuase","Tamale","Babile","Begoro","Lake Manyara","Same.1"
"348",1989-10-24,23,17444,37.7999997138977,0,14.5,21.9000000953674,30.1999995708466,22.9000005722046,18,6.40000009536743,31.3999996185303,10,0,24.8999996185303,15.5000001192093,17.1000003814697,23.2000000476837,4.5,24.400000333786,11.5,4.09999990463257,10.6999995708466,0,0,12.3999996185303,0,0,2.20000004768372,0,0
"349",1989-10-31,5.7,17493,0,0,0,10.9999997615814,16.3999999761581,9.30000019073486,0,0,14.2000000476837,0,0,5.89999979734421,0.699999988079071,4.80000019073486,5,0,6.40000009536743,6.19999980926514,20.2999992370605,3.40000009536743,0,7.59999990463257,4.5,0,0,9.5,0,10.1000003814697
"350",1989-11-07,0,17542,22,16.8999996185303,5.59999990463256,42.4000003337859,39.8000010251999,23.0000009536743,4.69999980926514,2.20000004768372,44.4999995231628,0,0,16.3999999761581,9.200000166893,18.800000667572,20.5999997258186,2.20000004768372,54.1999986171721,35.2000000476837,26.3999996185303,26.1000003814697,0,5.10000014305115,38.5999999046326,0,2,14,0,0
"351",1989-11-14,2.3,17591,65.7999982833862,28.400000333786,7.59999990463257,17.400000333786,12.0999999046326,8.10000038146973,0,0,18.3000001907349,47.5999985933303,0,13.1999998092651,9.20000004768371,12.8000001907349,11.0999999046326,0,38.3999996185303,8.5,38.4999997615814,10.4000000953674,0,20.9999997615814,11.0999999046326,0,0,10.7000002861023,30.2999997138976,11.3000001907349
"352",1989-11-21,9.6,17640,43.5000009536744,9.10000014305114,8.89999961853027,10.6000003814697,11.7000004053116,7.5,6.89999985694885,3.79999995231628,13.3999997377396,67.1000003814697,0,13.4000000953674,11.9000000953674,5.09999990463257,10.2999998927116,0,0,3.59999990463257,58.5999989509582,4.09999990463257,0,9.89999985694886,7.59999990463257,0,0,9.39999985694885,19,9.700000166893
"353",1989-11-28,42.2,17689,61.2999997138976,92.3000001907349,9.20000004768371,39.8000001907349,31.5000004768372,20.9999996423721,0,0,30.9999997615814,62.2999992370605,25.5999999046325,21.2999999523163,8.299999833107,23.4999995231629,23.1999998092651,0,29.599999666214,27.2999999523163,14.4000005722046,25.4000001549721,92.7999997138977,51.1000002622605,32.4000002145767,0,2,16,69.2000007629394,34.8000011444092
"354",1989-12-05,34.5,17738,48.0999994277955,18.4000000953675,0,0,0,0,0,0,2.09999990463257,20.0000004768372,16.8000001907349,0,0,12.2999995946884,0,0,11.1000003814697,0,0,4.59999990463257,26.2000007629394,45.4000003337861,0,0,0,0,8.5,22.0000002384186
"355",1989-12-12,10.8,17787,49.900000333786,46.2999992370606,4.30000019073486,8.39999961853028,14,0,0,0,17.5,7.40000009536743,22.2999995946884,5.20000004768372,11.599999666214,15.8999998569489,10.2000002264977,0,12.7000000476837,0,0,0,64.5999991893768,53.7999994754791,6.60000014305115,0,0,9.79999971389771,40.1999998092651,23.0000004768371
"356",1989-12-19,0,17836,75.3999996185303,77.3999984264374,0,0,0,0,0,0,0,82.5999994277954,58.4000000953675,0,0,5.30000019073486,0,0,0,0,28.7999992370605,0,100.999999523163,103.600000858307,0,0,0,0,113.29999923706,49.1000000238419
"357",1989-12-26,64.5,17885,45.8999998569489,98.6000003814698,19.7999997138977,26.7999992370606,40.4000010490418,12.9000000953675,0,5.19999980926514,47.8000001907349,75.2999992370606,96.9000000953676,20.4000000953674,24.0000004768371,23.5000002384186,25.3999996185302,0,35.5000004768372,18.3000004291534,26.2999997138977,20.1999995708466,147.300000190735,92.4999990463257,25.5999994277954,3.90000009536743,4.49999994039535,23.4000000953674,139.599997997284,103.999997138977
"358",1990-01-02,13.5,17934,57.9000005722046,59.8000011444092,3.40000009536743,3.79999995231628,8.60000038146973,0,4.5,2.90000009536743,8.19999980926514,53.4999990463257,26.8000001907349,0,0,0,5.19999980926514,0,0,1.70000004768372,9.60000038146972,2.29999995231628,31.2999997138977,69.5999975204466,0,0,0,5.69999980926514,68.9999990463258,77.0000028610229
"359",1990-01-09,0,17983,19.7999997138977,72.0999999046326,5.80000019073486,0,3,0,0.400000005960464,0,3.59999990463257,6.09999990463257,38.9000002145768,0,3.20000004768372,7.30000019073486,0,0,10.8000001907349,0,0,0,25.3999998569488,54.4000005722045,3.70000004768372,0,1.89999997615814,0,5.09999990463256,5.80000019073486
"360",1990-01-16,6.8,18032,41.1999988555908,34.4000005722046,8.70000004768371,0,3.09999990463257,20.8000001907349,0,0,7.09999990463257,17.9000000953674,11.0000002384186,8.59999990463257,17.1000003814697,8.80000019073486,6.09999990463257,0,13.6999998092651,3.20000004768372,0,6.69999980926514,17.5999999046326,34.699999332428,0,0,0,12,16.2999997138977,0
"361",1990-01-23,0,18081,18.3000001907349,10.8000001907349,0,8.60000038146973,4.69999980926514,0,0,0,3.59999990463257,3.09999990463257,0,0,0,0,0,0,0,4.80000019073486,0,6.69999980926514,6.90000009536743,10.9000000953674,7.90000009536743,2.29999995231628,0,0,0,2.70000004768372
"362",1990-01-30,22.6,18130,32,18.7999997138977,11.8000001907349,40.5,15,12.6999998092651,0,0,35.6999998092651,18,5.40000009536743,37.8999996185302,0,20.3999996185303,45.4999999999999,0,29.6000003814697,20.2000007629395,0,38.2000007629395,7.20000028610229,36.8999999165535,28.1000003814697,0,0,12.3000001907349,5.30000019073486,6.89999985694886
"363",1990-02-06,0,18179,54.499998807907,56.5999994277954,0,0,0,0,0,0,0,22.5,29.6000006198883,0,0,0,0,0,0,0,0,0,13.9000001549721,27.5999994277954,0,0,0,0,6.59999990463256,3.59999990463256
"364",1990-02-13,23.4,18228,30,101.699999809265,12.4000002145768,25.6999998092651,27.2000002861023,18.9999995231629,10.4000000953674,2.90000009536743,23.9000005722046,18.0000002384186,139.899996757507,17.7000002861023,20.2000002861023,16.3000001907349,24.3000011444092,3,35.8999996185303,12.3000001907349,41.9999990463257,24.1000003814698,67.9000005722046,85.7999980449676,19.5,0,0,26.7999992370605,22.8999996185303,19.8999996185303
"365",1990-02-20,119.9,18277,58.6999996900558,99.4000000953675,22.3999996185303,9.10000014305114,18.2999997138977,6.50000023841858,16.900000333786,7.69999980926514,16,80.9000012874603,86.4000008106233,9.50000023841858,11.099999666214,0,17.2999999523163,0,11,0,118.79999935627,0,96.899998664856,86.0000008344651,5.19999980926514,11.3000001907349,0,20.9999995231628,107.000002264976,67.599999666214
"366",1990-02-27,161.8,18326,44.3999996185302,47.1000011563301,0,15.6000003814697,0,0,0,0,10.3999996185303,57.5,33.5000004172325,0,0,32,7,0,44.599998474121,16,115.300001144409,18,84.9999980926513,70.6000003814698,14.8000001907349,0,0,0,87.7000007629394,100.300001144409
"367",1990-03-06,15.4,18375,29.5,40.6999998092651,8.69999980926514,12.1999998092651,9.29999971389771,8.30000019073486,0,0,10.8000001907349,31.9000005722046,6.39999985694885,9.10000014305114,7.09999990463257,0,8.19999980926514,0,12.8000001907349,8,58.7000011205673,12.6000003814697,32.400000333786,37.2000002861023,8.30000019073486,0,0,10.8999996185303,79.9000005722046,80.8000006675721
"368",1990-03-13,86.3,18424,8.60000038146973,20.0000004768372,13.8000001907349,31.4999992847442,19.1999993324279,20.3000004291535,6.30000019073486,0,25.900000333786,7.09999990463257,9.49999988079071,27.4000000953674,19.7999992370605,10.5,28.2999997138977,0,25.6000003814697,16.8999996185303,11.4999997615814,25.6999995708466,19.1999998092651,25.2999997138977,23.0999999046326,0,0,27.5000004768372,11.7000002861023,37.3000009059907
"369",1990-03-20,0,18473,46.0000014305115,14.7999999523163,8.5,10.6000003814697,10.3000001907349,0,0,0,10.6999998092651,50.8000013828278,19.4000000953674,8.30000019073486,0,15.0999999046326,0,0,17.1000000238419,10.3999996185303,11.6999998092651,12.1999998092651,1.20000004768372,38.4999995231628,12.9000005722046,0,0,0,12.5999994277954,5.59999990463257
"370",1990-03-27,12.8,18522,47.300000667572,36,33.8000001907349,36.4000005722046,41.5,41.0000004768371,29.1999995708466,4.69999980926514,29.5,57.1000008583069,26.5000002384186,41.8999996185302,45.5999999046326,14.4000005722046,36.800000667572,0,20.1000003814698,14.6999998092651,69.5000004768372,15.6999998092651,4.79999995231629,26.3999996185302,14.6000003814697,0,0,38.8000001907348,12.9000000953675,18.2999999523163
"371",1990-04-03,27.3,18571,35.6000003814697,34.1000001430511,24.3999996185303,17.8999996185303,12.0999999046326,24.0999994277954,36.2000007629395,14.7999999523163,12.400000333786,95.6999988555909,99.6999974250793,19.5000004768371,23.3999996185303,14.3999996185303,15.0000003576278,11.9000000953674,20.5,19.7000007629395,99.7000004053116,19.4000000953674,33.8000000715256,66.1000003814698,18.2000007629395,17.6999998092651,17.1999998092651,12.6000000238419,90.0000019073486,50.6000003814697
"372",1990-04-10,46.3,18620,39.7000007629395,0,52.4999990463257,30.9000000953675,41.0000004768371,27.5,49.4999994039536,36.100000500679,47.4999989271164,45.0999999046325,16.5,48,61,24.7000000476837,52.5999990701676,21.0000002384186,18.5999994277954,24,82.0000011920929,20.5,59.1999998092651,25.8000001907348,25.7000002861023,30.4999994039535,10.2999999523163,58,49,65.8000011444093
"373",1990-04-17,53.6,18669,47.4000015258789,0,30.8999996185302,42.2000007629394,36.4000008106231,40.3000001907348,31.2000007629394,28.6999998092651,42.4999996423722,56.6999998092652,7.80000019073486,37.300000667572,36.9999997615814,34.8999996185303,38.9000011682511,25.0999999046326,50.8999986648559,40.300000667572,15.8000001907349,41.1999998092651,7.09999990463257,0,41.1000003814698,27.2000007629394,11.6000001430511,35.7000000476837,0,12.3000001907349
"374",1990-04-24,25.9,18718,35.2000007629395,0,39.4000012874604,44.9000010490418,29.4999998807907,51,28.9999992847443,20.700000166893,35.0999999046326,3.09999990463257,0,45.7000004053116,55,39.199999332428,40.4999994039535,12.6999998092651,74.6999984979629,38.5999994277955,9.89999961853027,39.9999990463257,0,0,36.1000003814697,10.5,6.70000010728836,42.6000001430511,0,0
"375",1990-05-01,12.8,18767,28.5000009536744,0,24.1000004410744,28.8000001907348,27.4999990463257,30.1000003814698,30.3999996185303,15.2000002861023,24.5000001192093,62.2999997138977,96.8999991416931,24.6999998092651,22.2999995946884,46.299999833107,21.5,5.19999980926514,85.599999666214,27.3000001907348,0,28.0999994277954,0,0,29.1000006198883,4.59999990463257,25.799998998642,22.8000001907349,0,0
"376",1990-05-08,0.4,18816,69.6000003814697,0,48.1000003814698,34.7999992370605,53.8999999761581,22.599999666214,84.9000015258788,44.099999666214,47.0000009536743,61.0000014305115,0,35.8000005483627,38.0999999046326,39.9999985694885,37.0999999046326,43.7000007629394,85.5000004768372,21.1999998092651,35.7000002861023,24.3000001907348,0,0,29.9999995231628,46,40.0999994277954,47.4000005722046,0,0
"377",1990-05-15,0,18865,0,0,36.8999996185303,40.7999997138976,34.6999999284744,49.3000011444092,24.4000004529953,19,32.5000003576278,0,0,41.6000003814697,41.5999994277954,55.8000006675719,39.0999999046325,20.2999999523163,77.2999982833862,26.3999996185302,92.2999992370606,34.2999997138977,0,0,43.8999996185303,22.4000005722046,40.7000005245208,27.2000002861023,0,0
"378",1990-05-22,0,18914,0,0,13.6000003814697,12.8000001907349,22.1999998092652,16.6000000238419,18.9000000953674,22.2999994158745,14.6999998092651,0,0,13.3999996185303,11.9000002145768,53.2999992370606,9.79999971389771,7.09999978542328,63.6999998092652,11.5,0,12,0,0,13.5,16.2999999523163,19.4999992251396,6.60000002384186,0,0
"379",1990-05-29,0,18963,0,0,25.1999998092652,14.5999999046326,35.0000004768372,7.59999990463256,38.6000005602836,38.5,29.1999998092651,0,0,8.99999976158142,28.3999998569488,17.5,23.8000001907349,43.9000005722046,39.3999998569489,7.29999995231629,0,7.90000009536743,0,0,9,48.2000002861024,42.5999996066093,38.9000005722046,0,0
"380",1990-06-05,0,19012,0,0,36.2000011205673,25.9999997615814,41.1999995708466,27.4000005722046,33.1999998092652,39.9000005722046,31.3000001907349,0,0,28.2000007629394,30.6999993920326,22.1000003814698,28.3000001907348,46.2000007629394,28.9000000953675,11.7999999523163,0,18.0000002384186,0,0,17.7000002861023,38.4999998807907,22.3000001907349,30.5999994277954,0,0
