Accra.KIA,Akatsi,Akim.Oda,Akuse,Asamankese,Axim,Babile,Begoro,Bole,Dodoma,GilgilKwetu,Ho,Kigoma,Koforidua,Kumasi,Lake Manyara,Mbeya,Mtwara,Musoma,Nsawam,Pokuase,Same,Songea,Takoradi,Tamale,Tema,Wenchi,Yendi,date
24.6,111.8,173.4,84.4,14.7,45.400000000000006,86.6,71.9,50.4,102.7,95.0,119.3,240.7,123.0,171.0,76.39999999999999,62.900000000000006,259.6,162.20000000000002,137.0,38.8,148.7,57.2,92.2,14.299999999999999,45.5,34.1,8.1,1987-04
62.2,70.9,106.0,82.1,15.9,376.20000000000005,56.1,172.8,81.1,5.5,88.0,247.5,46.0,108.6,46.3,131.2,27.1,355.1,191.5,122.39999999999999,36.1,148.7,5.7,170.3,128.0,106.4,144.4,101.5,1987-05
16.7,92.10000000000001,100.9,64.62,47.699999999999996,375.1,72.0,179.2,176.9,0.0,178.79999999999998,134.1,8.1,109.2,245.9,4.7,0.0,87.39999999999999,73.3,32.1,105.19999999999999,0.9,0.0,203.9,188.5,3.4000000000000004,116.6,126.3,1987-06
18.700000000000003,39.4,142.8,38.6,165.2,174.5,224.9,199.3,105.0,0.0,29.7,110.89999999999999,2.3,114.9,156.8,4.5,0.0,9.9,26.6,63.39999999999999,79.9,1.2,0.0,126.3,173.4,21.2,134.0,234.39999999999998,1987-07
79.3,107.60000000000001,182.3,139.0,255.79999999999998,460.7,340.40000000000003,352.0,192.0,0.2,94.5,254.1,2.3,244.8,192.1,10.1,0.0,1.7,24.4,177.6,169.8,24.1,0.0,333.4,143.8,57.4,156.9,216.8,1987-08
275.8,273.7,275.2,187.9,25.3,465.8,195.29999999999998,378.1,211.89999999999998,0.0,38.5,206.3,51.4,277.3,188.7,1.8,33.1,3.7,40.8,339.9,267.4,1.6,0.0,339.2,173.0,297.9,297.8,181.8,1987-09
83.2,78.6,295.4,87.6,23.8,387.7,27.1,239.6,68.4,0.0,82.5,124.6,71.9,126.5,74.39999999999999,0.2,14.600000000000001,40.7,22.7,106.5,109.0,13.600000000000001,8.8,169.5,107.89999999999999,75.7,201.5,96.1,1987-10
9.1,12.399999999999999,21.5,67.0,17.9,118.4,1.3,5.3,1.3,73.1,174.1,23.0,126.7,21.7,39.5,45.8,39.6,47.2,121.1,45.5,42.3,45.1,1.5,28.000000000000004,0.0,0.0,8.8,0.0,1987-11
41.9,43.7,0.0,12.700000000000001,1.5,79.2,0.0,24.900000000000002,0.0,18.8,16.0,7.7,89.6,3.3,8.200000000000001,36.6,140.0,4.5,22.4,6.8,70.2,6.6,106.2,30.700000000000003,0.0,14.0,0.4,0.2,1987-12
0.0,1.17,19.5,0.0,0.4,13.5,0.0,55.599999999999994,0.0,142.4,56.1,21.4,121.4,34.800000000000004,0.0,208.4,266.1,205.9,97.89999999999999,0.0,0.0,21.4,220.2,0.0,0.0,0.0,10.4,0.0,1988-01
