"","date","Kigoma","Songea","Kumasi","Accra.KIA","Akuse","Ho","Takoradi","Bole","Asamankese","Musoma","Mtwara","Nsawam","Axim","Akim.Oda","Akatsi","Yendi","Wenchi","Koforidua","GilgilKwetu","Tema","Dodoma","Mbeya","Pokuase","Tamale","Babile","Begoro","Lake Manyara","Same"
"97",1982-11-04,37.5,0,28.9,0,5.6,1,13.7,0,18,32,13.6,79.8,18,23.9,0,0,2.6,27.6,22.7,0,0,17.2,0,0,0,23.6,3,4.2
"98",1982-11-11,38.1,41.3,19.4,0,5.3,0,9.6,0,14,56.1,0,0,36.6,5.6,0,0,3.8,2.6,29,0,17.7,11.6,0,0,0,43.6,155.8,44.7
"99",1982-11-18,57.3,36.2,1.3,0,13.5,18.8,0,0,39.9,19.9,0,7.6,3.1,19.8,0,0,0,1,33.3,0,2,16.2,53,0,0,10.5,111.5,48.4
"100",1982-11-25,115.5,69.5,3.8,0.5,0,0,1.1,0,10.9,73,1,18.8,3.3,11.7,0,0,0,31.5,66.4,0,46.5,61.2,29,0,0,10,351.7,132.8
"101",1982-12-02,37.6,39,0,0,0,17.5,4.3,0,0,41.8,1.8,0,1.9,0.8,0,0,0,0,57,0,35.6,28.2,0,0,0,0,155.6,12.1
"102",1982-12-09,13.5,38.8,0,0,0,0,0,0,0,17.8,0,0,0,0,0,0,0,0,10.8,0,0,20.3,0,0,0,0,22.2,15.2
"103",1982-12-16,22.1,109,0,0,0,0,8.9,0,0,9.8,2.6,0,7.8,0,0,0,0,0,54.9,0,2.3,56.8,0,0,0,1.2,16.3,4.3
"104",1982-12-23,36.7,67.8,0,0,42.7,19.6,0,0,5,0,38.9,4.8,0.4,0.8,0,0,0,20.4,0,0,148.4,57.9,0,0,0,1.1,1.2,0
"105",1982-12-30,24,92.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.8,48.7,0,0,0,0,0,0
"106",1983-01-06,12.9,114.5,0,0,0,0,0,0,0,20.1,15.6,0,0,0,0,0,0,0,0,0.3,35.5,48.3,0,0,0,0,20.3,0.1
"107",1983-01-13,47.7,22.3,0,0,0,0,0,0,0,1.3,53.9,0,0,0,0,0,0,0,0.5,0,64.8,30,0,0,0,0,65.9,1.4
"108",1983-01-20,9.6,71.5,0,0,0,0,0,0,0,42.1,19.9,0,0,0,0,0,0,0,2.1,0,0.4,53.8,0,0,0,0,24.7,0
"109",1983-01-27,12.6,2,0,0,0,0,0,0,0,0.2,14.2,0,0,0,0,0,0,0,7.1,0,0.2,13.1,0,0,0,1,0,0
"110",1983-02-03,15,0,0,0,0,0,0,0.3,0,1.8,60.5,0,0,0,0,0,0,0,2.5,0,0,14.9,0,0,0,0.5,0.8,0
"111",1983-02-10,49.7,59.3,8.4,0,0,0,0,0,0,0.3,33.3,0,0,30,0,0,0.3,0,18.1,0,41.7,49.1,0,0,16,9.6,11.8,33.9
"112",1983-02-17,35.3,52.7,25.6,0,0,9.1,0,0,0,13.7,85.9,27,0,40.9,0,0,7.9,0,6.1,0,22.5,24,0,0,0,5,22.4,71.8
"113",1983-02-24,14.4,35.9,0,0,0,0,0,0,16.3,0,56,0.5,0.8,0,0,0,0,0,0,0,6.8,17.2,0,0,0,0.6,0.9,0
"114",1983-03-03,43.4,42.3,0,0,0,0,0,0,0,4.7,30,0,6.9,0,0,0,0,0,0,0,1.3,30,0,0,0,0,0,0
"115",1983-03-10,16.4,118,0,0,0,0,0,0,0,24.2,180.3,0,0,0,0,0,0,0,8.7,0,82.1,35.7,0,0,0,0,37.8,51.5
"116",1983-03-17,30.1,32.4,42.9,0,0,7.6,0,0,17.5,22.7,38.7,22.9,0,0,0,0,4.1,0,0,0,15.1,31.5,0,0,0,37.5,3.5,0
"117",1983-03-24,11.4,31.9,24.1,0,3.8,5.6,0,24.6,0,13.6,17,0,22.9,17.6,0,2.8,8.5,4.3,0.5,0,21.3,32.3,0,22.2,0,15.4,33.3,6.1
"118",1983-03-31,28.3,41.6,13.5,19.8,1.3,2.3,5.1,76.9,3.8,29.5,11.2,17.8,2.2,0.3,8.1,80.7,29.9,71.6,2.8,21.3,4.4,13.8,15,100.9,0,50.1,7,4
"119",1983-04-07,45.2,15.9,46.3,17.9,83.6,32.3,2.3,0,24.1,5.6,38.2,22.3,7.6,56.2,42.2,0,33.3,46.5,10.7,22.9,0,18.5,13.6,0,0.8,23.1,0.4,0
"120",1983-04-14,29.2,16.5,7.6,0,0,52.9,0,0,0,77.5,30.8,0,1.3,29,0,3.5,40.5,27.4,4.9,0,0,27.8,0,0,0,11.3,14.2,3.1
"121",1983-04-21,35.5,4.3,17,0,2.5,44.5,0.5,5.3,66.6,79.1,11.8,0.8,38.7,156.4,0,18.6,33.2,23.6,64.4,0,0,0,0,6.9,11.1,21.7,26.5,1.7
"122",1983-04-28,52.2,1.8,9.1,19.3,0.2,0,25.7,16.5,9.7,31.1,44.2,1.5,139.2,8.9,3.3,36.4,12.8,84.3,55.2,54.8,6.1,15.3,32.8,2.2,4.6,23.1,45.7,47
"123",1983-05-05,25.3,12.6,2.8,1.3,6.4,11.2,1,25.4,14.5,65.4,6.4,29.5,2.1,42.6,6.4,15.9,36.5,11.9,33.3,0,1.2,6.6,27.4,40.5,3.8,79.6,16.1,0.3
"124",1983-05-12,2.3,0.7,55.9,5.6,0,0,67.5,14,19.3,12.9,103.1,28,124.2,27.7,36.6,45.5,50.3,19.6,11.7,10.6,1,0.7,7.4,21.3,29,41.9,59.5,45.2
"125",1983-05-19,0,0,24.5,0,7.8,0,7.4,71.1,54.9,32.9,71.3,0,100.1,38.6,0,38.6,73.7,26.7,12.7,1.5,0,0,0,96.1,43.4,49.9,1.4,9.8
"126",1983-05-26,3.1,13.1,32.5,27.6,26.7,7.9,81.6,0,48.3,2.1,50.1,31.7,107.9,48.1,13.4,34.1,103.5,65.1,16.8,17,0,2.2,20,14.6,20.3,21.2,3.1,19.5
"127",1983-06-02,0,0,119.1,28.2,75.9,55.6,47.5,30.5,58.8,1.4,25.7,18.6,181.7,36.1,41,69.9,38.5,29.3,4.6,14.2,0,0,18,26.3,11.2,74.5,9.6,10.1
