"","date","Kumasi","Accra.KIA","Akuse","Ho","Takoradi","Bole","Asamankese","Nsawam","Axim","Akim.Oda","Akatsi","Yendi","Wenchi","Koforidua","Tema","Pokuase","Tamale","Babile","Begoro"
"91",1981-04-01,0.460047096014023,0,3.51215839385986,0,0,0.0548783764243126,5.1558723449707,0,0,0,0,0,0,0,0,1.60810387134552,0,0,13.6816482543945
"92",1981-04-02,1.69812881946564,8.32664108276367,10.9417238235474,8.14225673675537,3.01352548599243,0.786589980125427,6.98326969146729,10.7409410476685,10.5660810470581,0.51659083366394,12.6515283584595,0,0.663111627101898,5.28459119796753,5.60706329345703,0,0,1.23159158229828,9.60905838012695
"93",1981-04-03,0.277533531188965,0,1.97221171855927,0,4.5157904624939,2.89940738677979,1.10949158668518,0,0,0.606544375419617,0,0,0.778578817844391,0,0,1.85550463199615,0,0,2.08321404457092
"94",1981-04-04,0,0,2.18834471702576,0,0,0,0.978963136672974,0,0,0,0,4.19209337234497,0,0,0,0,4.96042823791504,0,0
"95",1981-04-05,0,0,0,0,0.386810779571533,0,0,0,1.4743367433548,0.550002098083496,0,0,0.705999374389648,0,0,2.72140693664551,0,0,0
"96",1981-04-06,1.11827325820923,1.42557740211487,0,0,2.36867260932922,0,0,1.94464838504791,0,0,1.69592726230621,0.801706254482269,0,4.05338048934937,4.27203941345215,1.89858019351959,0.774242341518402,0,4.20735502243042
"97",1981-04-07,0.321927160024643,1.00438404083252,2.37279534339905,8.26924419403076,4.68547677993774,0.0394782721996307,3.55457973480225,1.37009310722351,1.88893795013428,0.531746745109558,1.19485795497894,4.54300212860107,0.554859220981598,3.70987343788147,3.91000199317932,1.79310345649719,13.2481451034546,0,3.89376354217529
"98",1981-04-08,0.145975083112717,1.16638159751892,4.04922771453857,0,0.881768643856049,6.72314977645874,2.51599907875061,1.59107601642609,0,0,1.38757705688477,0,0.314349889755249,0,0,0.738336741924286,0,7.59186506271362,2.02527976036072
"99",1981-04-09,0.475722342729568,7.77587652206421,6.86047315597534,7.09651470184326,0.760741591453552,0.146069601178169,6.2461142539978,10.6071729660034,14.9909324645996,0.731909990310669,9.25051212310791,0,0.763722479343414,0.377857506275177,0,2.90060901641846,0,0,5.25266027450562
"100",1981-04-10,0.226782709360123,1.10158252716064,2.83703804016113,3.15734791755676,0.146961450576782,0,2.0040225982666,1.50268280506134,0,0.509506404399872,1.31048929691315,0,0.531652212142944,1.30532574653625,1.37574124336243,1.97768771648407,1.11834979057312,0,3.33191156387329
"101",1981-04-11,0,4.67629528045654,0.364661514759064,3.40227150917053,0,0,6.52667045593262,6.91184854507446,9.56321811676025,0,6.66847944259644,0.257228791713715,0,3.94991278648376,4.04476022720337,1.83226644992828,0.438661009073257,0,11.5127668380737
"102",1981-04-12,0,0.51958841085434,0.293183028697968,3.24558782577515,0,0,0.681043863296509,0.767983257770538,0,0,0.740942239761353,0.257228791713715,0,0.531719028949738,0.544486999511719,2.62624859809875,0.438661009073257,0,0
"103",1981-04-13,0,0,0,0,0,0,0,0,0,0,0,0.257228791713715,0,0,0,0,0.438661009073257,0,0
"104",1981-04-14,0,0,0.105400525033474,0,0,0,0,0,0,0,0,0.257228791713715,0,0,0,0,0.438661009073257,0,0
"105",1981-04-15,0,0.762062907218933,0,1.14155149459839,0,0,0.605372309684753,1.12637543678284,0,0,1.08671522140503,0.257228791713715,0,0,0,0,0.438661009073257,0,0
"106",1981-04-16,0,1.36229693889618,0,12.8318777084351,0,0,1.14996016025543,2.4731969833374,1.03926062583923,0,1.56742358207703,0,0,5.39888095855713,5.79873514175415,0.985036015510559,0,0,0
"107",1981-04-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"108",1981-04-18,14.3341884613037,3.90027379989624,7.3462438583374,0,0,3.53898453712463,4.48598289489746,7.08079481124878,5.14560747146606,2.18846440315247,4.4875545501709,6.04378318786621,9.60871410369873,0.830597162246704,0.892113208770752,3.06876611709595,4.39704513549805,2.80391263961792,6.47809600830078
"109",1981-04-19,0,7.42731666564941,0,32.1713485717773,0,3.0966112613678,0.853930830955505,13.4840030670166,24.055082321167,0,8.54567813873291,0,19.2174282073975,3.32238864898682,3.56845283508301,2.15950226783752,0.853157937526703,0,1.23203039169312
"110",1981-04-20,0,0,3.68266248703003,0,0,3.0966112613678,4.33796834945679,0,0,0,0,4.87979507446289,16.8152503967285,0,0,2.12161612510681,4.79081010818481,0,4.39159250259399
"111",1981-04-21,2.54459977149963,7.4956202507019,1.73188209533691,17.3788089752197,10.4830303192139,13.3225994110107,4.5009503364563,12.262321472168,14.816427230835,7.22365760803223,9.09975147247314,1.07725691795349,10.7699604034424,2.54142284393311,2.51808881759644,1.80698442459106,0,13.5644311904907,1.85980689525604
"112",1981-04-22,23.1501178741455,0.187123209238052,3.34432411193848,0.359170466661453,18.5677280426025,6.66129970550537,0.914827167987823,0.306120753288269,1.97078514099121,7.99061393737793,0.227169275283813,5.71544551849365,17.9499359130859,0.77397882938385,0.766872584819794,0.886005282402039,18.3631248474121,4.52147722244263,3.25900745391846
"113",1981-04-23,6.96416711807251,0.973040640354156,3.42793250083923,0.466291517019272,8.20074653625488,7.61291456222534,2.97135901451111,1.59182786941528,0.794775605201721,7.09880495071411,1.18128025531769,14.9020519256592,8.20568466186523,1.23605573177338,1.22470688819885,2.13340759277344,6.59985494613647,0,3.6500883102417
"114",1981-04-24,2.10455584526062,0,1.58855378627777,0.340266734361649,3.94564175605774,0,0,0,0,0,0,2.36398005485535,0,0,0,0,5.70693302154541,4.52147722244263,0.530131876468658
"115",1981-04-25,2.85071682929993,0.400978267192841,2.71129107475281,0,10.4056644439697,0,1.705237865448,0.655973076820374,1.11139345169067,6.58155488967896,0.486791342496872,0,0,2.03313827514648,2.01447105407715,1.41061365604401,0,0,0.990738391876221
"116",1981-04-26,0.0829035043716431,7.18814039230347,6.43461227416992,6.728919506073,0,3.62783741950989,9.35782146453857,8.68882179260254,3.54636788368225,0.386559247970581,7.94536924362183,0,0,3.91871404647827,3.88185667991638,7.37261772155762,0,0,3.29090762138367
"117",1981-04-27,2.82062482833862,0,24.8300323486328,1.38656532764435,0,7.25567483901978,0,0,4.02996349334717,0.350620627403259,0,0,38.8362884521484,5.90112161636353,5.84561920166016,2.19041514396667,0,0,5.80127811431885
"118",1981-04-28,0,0,0,1.30500257015228,0,3.62783741950989,0,0,1.55825245380402,0.611833035945892,0,1.52893042564392,12.9454298019409,3.0888683795929,3.05981636047363,1.36233139038086,0,4.38984632492065,0
"119",1981-04-29,0.334949165582657,14.524489402771,15.6449394226074,24.3872375488281,0,3.62783741950989,21.6908187866211,17.5567951202393,22.5677967071533,1.39897632598877,16.0545597076416,2.92605638504028,0,11.8944492340088,11.7825765609741,15.0123596191406,4.39374685287476,2.92656421661377,17.0241165161133
"120",1981-04-30,0.226793497800827,7.95388698577881,11.2037944793701,14.0287799835205,0,0,13.8587312698364,9.61443519592285,17.1676445007324,0.837106764316559,8.79178333282471,6.06300067901611,0,5.85501909255981,5.79994964599609,6.17056035995483,12.0659046173096,1.46328210830688,12.7628126144409
"121",1981-05-01,24.6629238128662,10.6234903335571,17.347806930542,17.2162933349609,20.8645782470703,0,11.8602294921875,11.2051429748535,22.5603294372559,16.0058517456055,10.6687917709351,23.4922657012939,0,3.63574123382568,3.35310864448547,7.03884220123291,14.7832660675049,2.30623292922974,13.7267179489136
"122",1981-05-02,41.4983215332031,24.9617347717285,29.8089084625244,23.94140625,37.5739250183105,24.8222255706787,22.7833557128906,26.3284301757812,29.2462596893311,31.0893325805664,25.0681781768799,0.892374157905579,161.488723754883,17.0273876190186,15.7037258148193,16.8848400115967,13.5458993911743,4.61246585845947,22.2105941772461
"123",1981-05-03,37.5845565795898,10.4846220016479,39.82666015625,13.1363887786865,6.2033805847168,8.68777942657471,20.7334365844727,11.0586719512939,18.45166015625,47.9090385437012,10.5293312072754,3.42422652244568,20.1860904693604,3.99931526184082,3.68841934204102,13.9519891738892,6.88149070739746,2.01795363426208,22.0517196655273
"124",1981-05-04,31.4964828491211,7.18647861480713,29.014820098877,0,2.25443530082703,8.68777942657471,17.219295501709,7.5799503326416,0,27.1828212738037,7.21712350845337,29.0955467224121,0,4.9688458442688,4.58258104324341,12.6531581878662,8.31422996520996,2.01795363426208,10.6127872467041
"125",1981-05-05,35.3481178283691,6.59628582000732,21.0128383636475,22.1032085418701,31.4221076965332,13.0316696166992,15.0229558944702,6.95744323730469,6.5365195274353,10.9056816101074,6.62441396713257,1.61872541904449,60.5582656860352,25.3895950317383,23.4158744812012,12.4436683654785,4.5370078086853,6.05386066436768,11.9155550003052
"126",1981-05-06,0.215424135327339,6.62090682983398,10.0843229293823,3.96657133102417,7.67223167419434,0,8.03416156768799,5.90168285369873,7.20835399627686,6.80589580535889,6.35930967330933,0,0,6.98323106765747,6.40702247619629,6.15916347503662,0,5.74834156036377,6.42881870269775
"127",1981-05-07,0.317640691995621,0,7.66525220870972,0,0,0,3.53299236297607,0,0,6.86100387573242,0,18.4092998504639,0,0,0,0,0.9644935131073,0,4.02640056610107
"128",1981-05-08,0.355010211467743,3.01137828826904,11.7747592926025,0,0,10.3823471069336,6.91311454772949,2.68425464630127,4.03032207489014,13.8046703338623,2.89239645004272,3.21432280540466,76.5712356567383,0,0,2.62713122367859,4.3938045501709,8.6225118637085,6.46908283233643
"129",1981-05-09,0.254991829395294,3.05262994766235,6.61601448059082,0,15.3444633483887,15.5735206604004,3.24423813819885,2.72102546691895,0,7.66007804870605,2.9320182800293,0.389614850282669,0,0,0,0,23.9564628601074,5.74834156036377,3.61033916473389
"130",1981-05-10,0.783660233020782,11.6329956054688,23.1414794921875,17.2770767211914,15.3444633483887,0,13.2826910018921,10.3693132400513,10.3719396591187,22.7873497009277,11.1733675003052,0.584422290325165,76.5712356567383,15.6540765762329,14.3624067306519,17.0763530731201,4.87118053436279,2.87417078018188,9.59625339508057
"131",1981-05-11,1.90890848636627,0,4.61379718780518,2.54656386375427,9.68552780151367,19.1450004577637,0,1.61475944519043,0,0,1.61540102958679,13.338698387146,6.69225263595581,4.2209620475769,3.73497557640076,3.77208471298218,13.8038702011108,9.33393859863281,0
"132",1981-05-12,0,0,6.87161302566528,0,0,0,4.23670148849487,0,1.60545122623444,9.82557964324951,0,0,12.8697185516357,0,0,0,0,0,3.58941769599915
"133",1981-05-13,0,0,5.49729061126709,1.93350207805634,1.33760190010071,0,3.82997822761536,1.61475968360901,3.79826235771179,0,1.61540138721466,0,0,1.56208837032318,1.38223516941071,0,0,0.365615159273148,0
