"","date","...1","Kigoma","Songea","Kumasi","Accra.KIA","Akuse","Ho","Takoradi","Bole","Asamankese","Mtwara","Nsawam","Axim","Akim.Oda","Akatsi","Yendi","Wenchi","Koforidua","GilgilKwetu","Tema","Dodoma","Mbeya","Tamale","Babile","Begoro","Lake Manyara","Same"
"165",1987-09-27,37020,116,1,109,203,179,114,101,96,245,5,200,155,175,222,81,115,160,20,137,0,7,51,45,192,2,0
"166",1987-10-12,37245,123,12,58,58,90,56,81,48,114,4,58,85,39,66,32,66,29,1,21,1,19,23,24,40,13,3
"167",1987-10-27,37470,44,14,52,62,74,58,41,8,95,4,67,72,47,51,0,80,44,110,28,0,20,1,2,22,210,0
"168",1987-11-11,37695,138,35,23,26,20,25,28,3,38,33,9,24,24,21,0,41,24,138,18,5,26,0,1,4,104,3
"169",1987-11-26,37920,160,30,15,38,26,37,23,2,37,17,35,40,44,33,0,65,28,27,17,45,36,0,0,14,86,1
"170",1987-12-11,38145,158,47,2,9,5,8,0,0,13,16,5,8,10,5,0,18,8,0,4,12,37,0,0,1,78,5
"171",1987-12-26,38370,138,74,1,6,6,2,0,0,13,28,4,5,10,5,0,27,4,35,1,1,95,0,0,2,101,1
"172",1988-01-10,38595,124,122,1,10,2,5,0,0,12,54,3,4,0,2,0,15,5,37,2,95,125,0,0,0,1044,18
"173",1988-01-25,38820,99,66,29,50,37,34,44,8,69,106,29,58,17,43,3,52,25,1,10,59,23,2,0,31,134,0
"174",1988-02-09,39045,121,76,23,35,31,36,5,0,42,31,25,35,13,28,11,31,21,1,13,3,43,2,0,17,43,0
"175",1988-02-24,39270,130,35,82,70,78,74,137,61,79,43,65,78,41,67,41,80,45,58,22,0,48,32,16,51,119,1
"176",1988-03-10,39495,155,137,86,33,63,16,132,32,48,56,35,44,16,34,2,44,15,111,3,85,139,10,5,24,215,50
"177",1988-03-25,39720,229,75,61,43,77,27,83,24,74,31,37,43,39,34,77,79,29,84,14,25,66,43,22,21,405,17
"178",1988-04-09,39945,387,20,58,76,104,66,65,59,117,42,63,83,84,67,67,124,61,853,45,1,11,46,50,48,215,6
"179",1988-04-24,40170,319,19,54,96,93,83,81,52,115,21,90,115,87,86,21,119,64,189,58,7,20,27,36,67,181,3
"180",1988-05-09,40395,129,7,35,46,69,56,36,44,75,3,64,62,88,46,24,126,49,110,53,0,0,18,23,39,32,0
"181",1988-05-24,40620,79,7,87,100,129,119,110,98,124,9,92,130,164,85,73,198,108,20,103,0,0,79,72,72,0,3
"182",1988-06-08,40845,20,2,64,96,113,72,79,75,143,6,98,97,135,94,51,171,71,60,58,0,0,49,47,66,0,2
"183",1988-06-23,41070,12,1,55,47,68,62,89,71,101,2,47,66,63,53,76,100,46,59,42,0,0,63,80,50,0,1
"184",1988-07-08,41295,0,2,61,69,102,67,91,161,101,0,70,123,53,81,137,60,57,117,44,0,0,114,117,82,0,0
"185",1988-07-23,41520,1,2,35,28,31,19,27,68,37,5,28,42,10,38,75,7,15,72,9,0,0,70,79,42,0,0
"186",1988-08-07,41745,0,1,19,32,38,13,47,84,41,0,35,48,14,39,107,24,13,74,7,0,0,119,74,44,1,0
"187",1988-08-22,41970,24,1,59,44,60,18,69,119,62,4,52,66,22,56,212,51,21,69,11,0,1,136,185,50,1,2
"188",1988-09-06,42195,26,0,132,197,149,343,123,94,196,6,246,247,47,217,121,91,98,51,92,0,0,120,119,159,1,5
"189",1988-09-21,42420,57,0,66,57,84,58,82,79,103,2,83,102,41,72,130,57,36,229,19,0,0,96,125,71,5,0
"190",1988-10-06,42645,103,7,77,100,130,97,103,30,141,12,91,106,37,113,56,83,46,36,26,0,16,18,2,66,25,0
"191",1988-10-21,42870,60,7,40,63,104,90,61,17,109,38,77,91,48,77,8,74,38,143,28,0,0,0,0,55,17,2
"192",1988-11-05,43095,213,66,7,54,57,72,26,0,87,13,49,65,36,42,0,70,42,162,27,0,77,0,0,15,93,8
"193",1988-11-20,43320,208,58,22,51,58,74,60,53,83,10,38,79,50,37,35,76,51,57,39,2,53,29,23,17,206,3
"194",1988-12-05,43545,244,77,20,58,43,70,43,4,53,70,55,73,90,39,0,121,55,62,49,1,79,0,0,27,49,3
"195",1988-12-20,43770,161,156,1,3,1,0,0,0,4,99,1,1,3,2,0,10,1,73,0,61,173,0,0,0,274,20
"196",1989-01-04,43995,68,57,0,0,0,0,0,0,0,230,0,0,0,0,0,2,0,90,0,107,63,0,0,0,199,69
"197",1989-01-19,44220,58,111,0,0,0,3,0,0,2,175,0,0,1,0,0,15,1,22,0,54,43,0,0,0,413,37
